textID,text,selected_text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km�),Density (P/Km�)
81e29d1a0b, aww I miss driving down elmwood,aww I miss driving,negative,noon,60-70,Tuvalu,11792,30,393
3773846bc3,Omg Wango Tango was **** AWSOME! I love my baby for taking me,Omg Wango Tango was **** AWSOME! I love my baby for taking me,positive,night,70-100,Uganda,45741007,199810,229
6f3818a39e,"Version 2 of our live, interactive Trans-Siberian ticket planner is launched: http://tinyurl.com/c5ljwm - its very cool",its very cool,positive,morning,0-20,Ukraine,43733762,579320,75
2e6ee964a4,_30439 I really wish I could go!,wish,positive,noon,21-30,United Arab Emirates,9890402,83600,118
759b899f29," yeah real hard, but I know you`ll get by with it... smile","yeah real hard, but I know you`ll get by with it... smile",neutral,night,31-45,United Kingdom,67886011,241930,281
12da1098a2, I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,that`s not good,negative,morning,46-60,United States of America,331002651,9147420,36
38e44e0f32,  This has made my night!!  Way too funny!!,This has made my night!!  Way too funny!,positive,noon,60-70,Uruguay,3473730,175020,20
b534d768ca,Woo CAVS.  Happy Mother`s Day!,Happy,positive,night,70-100,Uzbekistan,33469203,425400,79
c422db675c, I make that same face when I get home and your mom is watching soaps.,I make that same face when I get home and your mom is watching soaps.,neutral,morning,0-20,Vanuatu,307145,1.22E+04,25
a34bf825fc,I have to go to work now.,I have to go to work now.,neutral,noon,21-30,Venezuela,28435940,882050,32
dbc45af041, I can`t believe you went and got boba without me.,I can`t believe you went and got boba without me.,neutral,night,31-45,Vietnam,97338579,310070,314
018c0cf1f9,"  And to you too, how are you today?","And to you too, how are you today?",neutral,morning,46-60,Yemen,29825964,527970,56
7e820f005a, Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,Thanks,positive,noon,60-70,Zambia,18383955,743390,25
e839d6a472,19 days and counting,19 days and counting,neutral,night,70-100,Zimbabwe,14862924,386850,38
a210eda5c9, sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,sorry  friends,negative,morning,0-20,Afghanistan,38928346,652860,60
47990d2312,BRAINFREEZE,BRAINFREEZE,neutral,noon,21-30,Albania,2877797,27400,105
340600d483,Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,neutral,night,31-45,Algeria,43851044,2381740,18
5fcf7bd80c,"My sunburn is peeling,","My sunburn is peeling,",negative,morning,46-60,Andorra,77265,470,164
9e964bdfda,perky purple nail polish isn`t as perky when its chipped,perky purple nail polish isn`t as perky when its chipped,neutral,noon,60-70,Angola,32866272,1246700,26
3d635198c2,"http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught.","http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught.",neutral,night,70-100,Antigua and Barbuda,97929,440,223
bba9d463f4,Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,I don`t have no one to cuddle with..,negative,morning,0-20,Argentina,45195774,2736690,17
54a62c239a,I hate the dentist,hate,negative,noon,21-30,Armenia,2963243,28470,104
ebc8565a98," nothing aimed at you, just joining in...sorry",.sorry,negative,night,31-45,Australia,25499884,7682300,3
cf888f0df3,I`m taking a twitter break. Cell is dying,dying,negative,morning,46-60,Austria,9006398,8.24E+04,109
0456aab9bb, qood morninq,qood morninq,neutral,noon,60-70,Azerbaijan,10139177,82658,123
85b2dbf969,writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,neutral,night,70-100,Bahamas,393244,10010,39
30dd327860,needs more followers,needs more followers,neutral,morning,0-20,Bahrain,1701575,760,2239
4c8d61cfd0,I wish I could get my nails done  stupid job,stupid job,negative,noon,21-30,Bangladesh,164689383,130170,1265
ef200df027,The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim,The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form,neutral,night,31-45,Barbados,287375,430,668
bd0fa6cebd, the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,neutral,morning,46-60,Belarus,9449323,202910,47
2c80b2043e, Have a good one,Have a good on,positive,noon,60-70,Belgium,11589623,30280,383
1ecbc820d1," yep infact she is popular, miss india 99, talented film actress .... and lot more","she is popular,",positive,night,70-100,Belize,397628,22810,17
02e569bee0,Dosen`t Want To Go To Work Tomorrow,Dosen`t Want To,negative,morning,0-20,Benin,12123200,112760,108
f6f3b8b7a4,Daniel has won DSDS. His voice is great.,His voice is great.,positive,noon,21-30,Bhutan,771608,3.81E+04,20
41f4eb92b9,[-O] i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.. http://tinyurl.com/p6lfch,i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.,neutral,night,31-45,Bolivia,11673021,1083300,11
7a341d71fe,was hoping to go to Red Lobster this weekend,was hoping to go to Red Lobster this weekend,neutral,morning,46-60,Bosnia and Herzegovina,3280819,51000,64
0ddd346323,_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,lucky,positive,noon,60-70,Botswana,2351627,566730,4
38a6cb940a,I sure do hope it becomes 4:20 this afternoon ...,I sure do hope,positive,night,70-100,Brazil,212559417,8358140,25
a0f446e1bf, it means that you are now FAMOUS. Congrats!,Congrats!,positive,morning,0-20,Brunei,437479,5270,83
db0db7f325,My phone passed away yesterday.. He jumped off the table  Searching for a new phone...,passed away,negative,noon,21-30,Bulgaria,6948445,108560,64
123fa2ef14,"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",you are such amazing people!,positive,night,31-45,Burkina Faso,20903273,273600,76
8ebbcfcfd1,tamlyn wishes she was as cool as my sock draw,cool,positive,morning,46-60,Burundi,11890784,25680,463
47c5298bb9, so no rice or crusty bread with the chili .... aawww,so no rice or crusty bread with the chili .... aawww,neutral,noon,60-70,C�te d'Ivoire,26378274,318000,83
38c25280f1,"  We are of like minds this evening , my dear!","We are of like minds this evening , my dear!",neutral,night,70-100,Cabo Verde,555987,4.03E+03,138
f83634c7f2,come and save me from my packing please?!,come and save me from my packing please?!,neutral,morning,0-20,Cambodia,16718965,176520,95
301f7824f5,"Yes, I love tea. If that makes me typically English then so be it","Yes, I love tea.",positive,noon,21-30,Cameroon,26545863,472710,56
715e081e22, a mouth for sure,a mouth for sure,positive,night,31-45,Canada,37742154,9093510,4
5459ddc56e,_dec0de I finally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend,I finally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend,neutral,morning,46-60,Central African Republic,4829767,622980,8
e8f99c2de0, pancakes!! with lemon and sugar thanks!,thanks!,positive,noon,60-70,Chad,16425864,1259200,13
b53d8f2b09," Si, no bueno  I guess I just don`t entertain him :/",s I just don`t entertain him :/,negative,night,70-100,Chile,19116201,743532,26
71dddc0dff,I`m so hunrgy right now and these heels kill me I can hardly walk in them,kill me,negative,morning,0-20,China,1439323776,9388211,153
ca57a8830c,both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,both electronic keys stopped working. there is no keyhole!,negative,noon,21-30,Colombia,50882891,1109500,46
0f0a1d8c75," Yay, three followers! Good to know more than one person in this big wide world likes fishies.",Good,positive,night,31-45,Comoros,869601,1861,467
187745f502,'my name is Tony!!!!!! ...not hey!!!!' -  poor tony,poor tony,negative,morning,46-60,Congo (Congo-Brazzaville),5518087,3.42E+05,16
a78ef3e0d0,Goodmorning,Goodmorning,positive,noon,60-70,Costa Rica,5094118,51060,100
5010f92b03,Took a shift tomorrow.    I don`t really feel like working right now.,I don`t really feel like,negative,night,70-100,Croatia,4105267,55960,73
1a88179ebb," I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too .","I love mine, too . happy motherï¿½s day to your mom , John Taylor  . much love to you, too",positive,morning,0-20,Cuba,11326616,106440,106
625feab260,Saw a black snake in the garden.  Went back for a picture and it was gone,Saw a black snake in the garden.  Went back for a picture and it was gone,neutral,noon,21-30,Cyprus,1207359,9240,131
45b0430eb9,http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,best,positive,night,31-45,Czechia (Czech Republic),10708981,77240,139
86462cc997,No waterfront anymore   faccia luna and clarendon will have to do,No waterfront anymore,negative,morning,46-60,Democratic Republic of the Congo,89561403,2267050,40
b499204c32,loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,positive,noon,60-70,Denmark,5792202,42430,137
60d0bb5840,Slipped up and caught the flu  feeling like poop!,feeling like poop!,negative,night,70-100,Djibouti,988000,23180,43
a52203dd88,"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)",excited,positive,morning,0-20,Dominica,71986,750,96
e8770f1c78,Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,then you cry ...,negative,noon,21-30,Dominican Republic,10847910,4.83E+04,225
4016e4cf72,Discovered  and  are sharing on G reader with me and didn`t even know it. Sigh.... I`m such a G reader newb.,Discovered  and  are sharing on G reader with me and didn`t even know it. Sigh.... I`m such a G reader newb.,neutral,night,31-45,Ecuador,17643054,248360,71
4dc7327dd8,"is chilled out tonite, so cannot spew venom or write funny. Seems like these are the only 2 styles she has","is chilled out tonite, so cannot spew venom or write funny. Seems like these are the only 2 styles she has",neutral,morning,46-60,Egypt,102334404,995450,103
f5c5fbc40b," If u do, please pray 4 me.  Lord knows I need it.","If u do, please pray 4 me.  Lord knows I need it.",neutral,noon,60-70,El Salvador,6486205,20720,313
124e448e00,aaaaaw i want to live in the USA,aaaaaw i want to live in the USA,neutral,night,70-100,Equatorial Guinea,1402985,28050,50
641db1b766,Morning tweeple,Morning tweeple,positive,morning,0-20,Eritrea,3546421,101000,35
7286b251ca," Hey, I didn`t get any !!!","Hey, I didn`t get any !!!",neutral,noon,21-30,Estonia,1326535,42390,31
4a704b77f2, Now you only have 2 hours to sleep...  - Rest if you need it.,#NAME?,positive,night,31-45,"Eswatini (fmr. ""Swaziland"")",1160164,17200,67
d046aa63bc,"  That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!","That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!",neutral,morning,46-60,Ethiopia,114963588,1000000,115
8a4740ee53,I don`t want to sit at home on prom night. Someone hang out with me,I don`t want to sit at home,negative,noon,60-70,Fiji,896445,18270,49
d66f920dbd,Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,wishing,positive,night,70-100,Finland,5540720,3.04E+05,18
64f91449b7,concert tonight  chackin out and not coming tomorrow!,concert tonight  chackin out and not coming tomorrow!,neutral,morning,0-20,France,65273511,547557,119
53dc5649da, what happened? I thought you were coming back today....,what happened? I thought you were coming back today....,neutral,noon,21-30,Gabon,2225734,257670,9
f2f7763cfd, lol dammit  well then next time then,dammit,negative,night,31-45,Gambia,2416668,10120,239
2abfe0decb, lol. just don`t ever forget me,lol.,positive,morning,46-60,Georgia,3989167,69490,57
7a7228dc2e, Still jealous,Still jealous,negative,noon,60-70,Germany,83783942,348560,240
754ebd84b4,http://twitpic.com/67qv3 - Me at Forever 21  Ethan couldn`t be there,Me at Forever 21  Ethan couldn`t be there,negative,night,70-100,Ghana,31072940,227540,137
fba4c01756,NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(,SAD,negative,morning,0-20,Greece,10423054,128900,81
888304834,this week of mine was not easy!  but finally it`s over! (:,not easy!,negative,noon,21-30,Grenada,112523,340,331
88d8e96213,   Wow what a beautiful picture... and by the way....I am straight....just wanted to let you know!!!     Bella,Wow what a beautiful pictur,positive,night,31-45,Guatemala,17915568,107160,167
38b762e325,In Arch. Drawing. Checking out MVCC`s CAD degree. Looks good to me,Looks good,positive,morning,46-60,Guinea,13132795,2.46E+05,53
94e82d1574," 'there are people and then there are pencils' some are sharp, some are not and some can be sharpened  my pencil philosophy.....","'there are people and then there are pencils' some are sharp, some are not and some can be sharpened  my pencil philosophy.....",neutral,noon,60-70,Guinea-Bissau,1968001,28120,70
c10f52f160,"just about to go home. I`m usually `mr. positive` but this has been one of those daze. well, 15 mins until tomorrow!","just about to go home. I`m usually `mr. positive` but this has been one of those daze. well, 15 mins until tomorrow!",neutral,night,70-100,Guyana,786552,196850,4
7e66ca1a42, but you always have lee. Let`s go to Paris,but you always have lee. Let`s go to Paris,neutral,morning,0-20,Haiti,11402528,27560,414
697887b4a1, you know you want to come keep me company whilst mum`s at her friends for the night  it`s such a nice evening!,a nice,positive,noon,21-30,Holy See,801,0,2003
1a1c392802,cooking with my dad  having lots of fun in the kitchen together,having lots of fun,positive,night,31-45,Honduras,9904607,111890,89
95b9338e05,Bouncing Rush makes me feel nauseous,Bouncing Rush makes me feel nauseous,negative,morning,46-60,Hungary,9660351,90530,107
b0b24ed515,Off to Woolsery this morning to (hopefully) see North Molton U16 clinch the North Devon League title. Lovely day for it,Lovely day for it,positive,noon,60-70,Iceland,341243,100250,3
d31f708485,playing singstar without my fave duetter,playing singstar without my fave duetter,negative,night,70-100,India,1380004385,2973190,464
200f31449b,"  you`re missing out, bb! i`m such a cereal nut, i think i like every kind available.",i like,positive,morning,0-20,Indonesia,273523615,1811570,151
3aae3dab5c," That`s just weird... :\  Oh, and what was it you were drawing for me?",That`s just weird... :\,negative,noon,21-30,Iran,83992949,1.63E+06,52
8415e9b138,Just woke up :o mums singing to her new gn`r cd replacement i bought because im a good daughter,im a good daughter,positive,night,31-45,Iraq,40222493,434320,93
7a4a97fba9,"The birds are out,, oh man... That`s NOT cool && I didn`t sleep yet for the night!!!",That`s NOT cool,negative,morning,46-60,Ireland,4937786,68890,72
e3a441b9eb,"250 miles down, only 1750 to go. Thats ok, u2 on the radio alwas helps.",alwas helps.,positive,noon,60-70,Israel,8655535,21640,400
32ffcb07c4,"My Street Fighter IV skills are lacking, can`t beat Seth on easy.","lacking,",negative,night,70-100,Italy,60461826,294140,206
0ef15a1349, FIL 461 with cool people like me,cool,positive,morning,0-20,Jamaica,2961167,10830,273
2a98bd4240,Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out,Good,positive,noon,21-30,Japan,126476461,364555,347
13dcb0f346, i think it`s under a honeymoon by the good life -- either that or it`s under a honey moon by joseph arthur.,i think it`s under a honeymoon by the good life -- either that or it`s under a honey moon by joseph arthur.,neutral,night,31-45,Jordan,10203134,88780,115
3c8e8d1940,my son got stung by a bug for the first time  his little finger is slightly swollen.,swollen.,negative,morning,46-60,Kazakhstan,18776707,2699700,7
a33b610db4, it was hours ago i came in.... and it`s only now i realised when i went to buy something online,it was hours ago i came in.... and it`s only now i realised when i went to buy something online,neutral,noon,60-70,Kenya,53771296,569140,94
1f42d08f3e, oh just referring to our lil exchange on LJ with regards to twitter archive postings.,oh just referring to our lil exchange on LJ with regards to twitter archive postings.,neutral,night,70-100,Kiribati,119449,8.10E+02,147
02e6423e39,Bumping dj opus in the drunk in the car.  lmao. Don`t act like u don`t know.,Don`t act like u don`t know.,negative,morning,0-20,Kuwait,4270571,17820,240
9c2b1313af,Why kiss the feet of the people who kick you when you can be anything that you want to?  morning everyone! Hope you have the best day ever,best,positive,noon,21-30,Kyrgyzstan,6524195,191800,34
51c2d21362,Here`s a brief preview: http://bit.ly/eHCfP   OMG James is creepy in that role! I`m scared of him,! I`m scared of him,negative,night,31-45,Laos,7275560,230800,32
16370c0a2e,I`m missing crab legs and attending my going away instead!,missing,negative,morning,46-60,Latvia,1886198,62200,30
edeeaa9756,Hicks are mean!,mean!,negative,noon,60-70,Lebanon,6825445,10230,667
feec8aa27b,"gettn ready to take a trip to Jersey my dad`s not doing so good, he needs a new heart~whoeva see`s this please say a prayer for my dad","not doing so good,",negative,night,70-100,Lesotho,2142249,30360,71
8542ba9b94,"back soon, need to run to the shops and cut the grass","back soon, need to run to the shops and cut the grass",neutral,morning,0-20,Liberia,5057681,96320,53
6912e77231,I`m up. I have a plan to transform my bedroom today. Random.,I`m up. I have a plan to transform my bedroom today. Random.,neutral,noon,21-30,Libya,6871292,1759540,4
e6c988afb8,"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan",Missing,negative,night,31-45,Liechtenstein,38128,160,238
9652c18d7d, thats another sponsor,thats another sponsor,neutral,morning,46-60,Lithuania,2722289,6.27E+04,43
df9882c24d," And most of us are going to be stuck in an office, some without windows",stuck,negative,noon,60-70,Luxembourg,625978,2590,242
22a8a4639e, No it`s not sad. Should make you proud,sad.,negative,night,70-100,Madagascar,27691018,581795,48
ee9df322d1,"   Sorry, we`ll try to keep it down.",Sorr,negative,morning,0-20,Malawi,19129952,94280,203
d9107173c4,is home alone.. Doing hw,is home alone.. Doing hw,neutral,noon,21-30,Malaysia,32365999,328550,99
7082999a93,"According to , a quarter of families under six live in poverty.",live in poverty.,negative,night,31-45,Maldives,540544,300,1802
cf29e364fe,the plan to not spend money is not going well,not going well,negative,morning,46-60,Mali,20250833,1220190,17
ea567e664a,uploading all my bamboozle pictures of facebook,uploading all my bamboozle pictures of facebook,neutral,noon,60-70,Malta,441543,320,1380
912bbdea65, congratulations ! you guys finish a month early than we do. booo,congratulations,positive,night,70-100,Marshall Islands,59190,180,329
060d8bb5d5," actually, I wish I was back in Tahoe.  I miss it there.",I miss it there,negative,morning,0-20,Mauritania,4649658,1030700,5
a07b1d9eea,"Woke Up,I Wanna Stay In My bed","Woke Up,I Wanna Stay In My bed",neutral,noon,21-30,Mauritius,1271768,2.03E+03,626
18f60b8879, but my bday is JUNE 19.. this is wack... and ihavent seen any promotions for my bday party  someone better finagle this asap!,wack.,negative,night,31-45,Mexico,128932753,1943950,66
6abd11b766," It would be great if those VIPS were for some acts I`d enjoy seeing, but noooo.","It would be great if those VIPS were for some acts I`d enjoy seeing, but noooo.",neutral,morning,46-60,Micronesia,115023,700,164
faaf5f743d,_Marie Wish I could make it too!!! I hate my commute sometimes,Wish I could make it too!!! I hate my commute sometimes,neutral,noon,60-70,Moldova,4033963,32850,123
7311789bcc,workin a long day today... hopefully i can make some good tips,hopefully i can make some good tips,positive,night,70-100,Monaco,39242,1,26337
726e099885, but it all went too quick and there wasn`t a chance lol,d there wasn`t a chance,negative,morning,0-20,Mongolia,3278290,1553560,2
56d742e6bc,Hates headaches! Maybe I`m not ready to rock,Hates,negative,noon,21-30,Montenegro,628066,13450,47
65ffd159b2, Thanks for the support,Thanks for the support,positive,night,31-45,Morocco,36910560,446300,83
0b64c5977e,there`s really no android twitter app of Tweetie`s calibre,there`s really no android twitter app of Tweetie`s calibre,neutral,morning,46-60,Mozambique,31255435,786380,40
151bba80ca,"had a good day driving up mountains, visiting katie, eating chips & fudge and stocking up on lovely smelling soaps",lovely,positive,noon,60-70,Myanmar (formerly Burma),54409800,653290,83
0ec5989a18,Nyappy mother`s day to your mom`s.,Nyappy mother`s day to your mom`s.,positive,night,70-100,Namibia,2540905,8.23E+05,3
2f3ff51870,yeah.... and im gonna take ur picture off my ipod baby..,yeah.... and im gonna take ur picture off my ipod baby..,neutral,morning,0-20,Nauru,10824,20,541
c2fc42a9ff, traumatizing moment of my childhood. my dogs massacred baby bunnies and my brother and i got out the bb gun...,traumatizing,negative,noon,21-30,Nepal,29136808,143350,203
09c0bef389, lol same here....wish there was a way to microsize everything...lol,lol same here....wish there was a way to microsize everything...lol,neutral,night,31-45,Netherlands,17134872,33720,508
72cfb17265," 'organization ...ITIL, forget about people (and so they fail)' preaching to the converted  IT is the people http://tr.im/kWUA",fail),negative,morning,46-60,New Zealand,4822233,263310,18
cbbe4f2dd4,"_Libertine um, glad you enjoyed it...",glad,positive,noon,60-70,Nicaragua,6624554,120340,55
9856eea986,About to have dinner and then an evening of playing cards. Already packed and ready to head home tomorrow   Do we have to go home?,About to have dinner and then an evening of playing cards. Already packed and ready to head home tomorrow   Do we have to go home?,neutral,night,70-100,Niger,24206644,1266700,19
4f6c17bae7, im allergic to cats! my tonsils get swollen and they hurt  what do i dooo?!,im allergic to cats! my tonsils get swollen and they hurt  what do i dooo?!,negative,morning,0-20,Nigeria,206139589,910770,226
fa1385e537, He says he feels mama tucking him in at night  He`s lonely but getting by. Tomorrow will be tough!,. Tomorrow will be tough!,negative,noon,21-30,North Korea,25778816,120410,214
b41f647910,I miss her alot and its only been one day,miss,negative,night,31-45,North Macedonia,2083374,25220,83
74e92f4188, sounds like you all had a great night . i`m glad it was successful,i`m glad,positive,morning,46-60,Norway,5421241,3.65E+05,15
4e6eb888c1, Thanks for sharing that,Thanks,positive,noon,60-70,Oman,5106626,309500,16
315d2392c9, you should say mlia instead of fml  i hope you find it soon,i hope,positive,night,70-100,Pakistan,220892340,770880,287
1baeebaf86,"Garden going well, almost all the corn and peas are up, no onions or beets up yet though.","well,",positive,morning,0-20,Palau,18094,460,39
216e541532, nah jkin he`s hot! so... bored now,nah jkin he`s hot! so... bored now,neutral,noon,21-30,Palestine State,5101414,6020,847
f383ad9856,Ahhh i`m sqeaky clean and fresh. Even though i`m wearing dirty clothes  I love Two and a Half Men - it`s amazing!,Ahhh i`m sqeaky clean and fresh. Even though i`m wearing dirty clothes  I love Two and a Half Men - it`s amazing!,positive,night,31-45,Panama,4314767,74340,58
2461db68e0, yes i have read them many times.,yes i have read them many times.,neutral,morning,46-60,Papua New Guinea,8947024,452860,20
9ec17fe80c, Cuz you play a grown up on Twitter?,Cuz you play a grown up on Twitter?,neutral,noon,60-70,Paraguay,7132538,397300,18
034f2e2104,i am living in ignorance  :@,i am living in ignorance,negative,night,70-100,Peru,32971854,1280000,26
f09816a243, nope... it is telling you that you want cameo creams,nope... it is telling you that you want cameo creams,neutral,morning,0-20,Philippines,109581078,298170,368
6a9023f1af, AWWWW  we`re gonna miss you!,AWWWW  we`re gonna miss you!,negative,noon,21-30,Poland,37846611,3.06E+05,124
afca91dc92, WE Quite Like Worthing its a relaxing place with nice coffee shops and fresh air.. and not too many Oiks,its a relaxing place,positive,night,31-45,Portugal,10196709,91590,111
cdcaac066e,"_terrible haha, that was new  the fact that he couldn`t do it should have cost his part. What kind of Spock is that!",he couldn`t do it should have cost his part.,neutral,morning,46-60,Qatar,2881053,11610,248
edde759bde,today was a lovely day! I had fun with  and  this evening!,lovely,positive,noon,60-70,Romania,19237691,230170,84
781d900e89, Beto`s Pizzeria is on Banksville Rd in I believe the Beachview area... Sorry to answer like 100 years later,. Sorry,negative,night,70-100,Russia,145934462,16376870,9
8aacb54f42,"sigh, my sisters bein strange.. she came all the way from copenhagen to london, and now her phones turned off.. i wanna see her dammit",dammit,negative,morning,0-20,Rwanda,12952218,24670,525
6172153918, it was amazing,it was amazing,positive,noon,21-30,Saint Kitts and Nevis,53199,260,205
486806238c,@ Barbs trying to figure out y the dsl aint connecting. I need my google. Going home to my computer if it don`t start working soon. SMH,@ Barbs trying to figure out y the dsl aint connecting. I need my google. Going home to my computer if it don`t start working soon. SMH,neutral,night,31-45,Saint Lucia,183627,610,301
8e26c8c6e8,I`m sick and sad .... missing out on Martini Lounge tonight,sick and sad ..,negative,morning,46-60,Saint Vincent and the Grenadines,110940,390,284
0be8e9f2fd,Seems really quiet tonight...am jealous of those who are clearly having a more exciting life than me   Off to bed I think...,Seems really quiet tonight...am jealous of those who are clearly having a more exciting life than me   Off to bed I think...,neutral,noon,60-70,Samoa,198414,2830,70
8df4e78879,Really wishes he had some spare cash to buy the new Punch Out for Wii,Really wishes he had some spare cash to buy the new Punch Out for Wii,negative,night,70-100,San Marino,33931,6.00E+01,566
9843ecd416,"Aw, not going to Toronto anymore.",not going,negative,morning,0-20,Sao Tome and Principe,219159,960,228
33596d8109, So sorry to hear about your mom! that really sucks,So sorry,negative,noon,21-30,Saudi Arabia,34813871,2149690,16
cf0e868f70, I feel for you  I hope it`s a smooth flight. Be safe! Mucho amor from Boston!,I feel for you  I hope it`s a smooth flight. Be safe,positive,night,31-45,Senegal,16743927,192530,87
82215b50d4,Can`t sleep...so I`m watching HGTV. I`m afraid infomercials are about to take over,Can`t sleep..,negative,morning,46-60,Serbia,8737371,87460,100
150ebb41ba,I`m getting me & my family ready for Kaylee`s graduation! It`s gonna make me so sad.,sad.,negative,noon,60-70,Seychelles,98347,460,214
1689a46690, sweet dreams,sweet dreams,positive,night,70-100,Sierra Leone,7976983,72180,111
0d709a4c51, hay wats ur AIM? we should chat,hay wats ur AIM? we should chat,neutral,morning,0-20,Singapore,5850342,700,8358
17775140c5,. Okay kool... I might be touring all summer long but we can make it happen!,. Okay kool... I might be touring all summer long but we can make it happen!,neutral,noon,21-30,Slovakia,5459642,48088,114
3b0e6c2c55,IN PAIN. my big toe got stomped on during the hokey cokeu. it`s throbbing. anyone have any suggestions to heal it?,PAIN.,negative,night,31-45,Slovenia,2078938,20140,103
9602407df9,"Time to watch OP, then some Dead Like Me, then sleep.","Time to watch OP, then some Dead Like Me, then sleep.",neutral,morning,46-60,Solomon Islands,686884,2.80E+04,25
a53c829bee,Having dinner with my grandma since I couldn`t be with my mum.,Having dinner with my grandma since I couldn`t be with my mum.,neutral,noon,60-70,Somalia,15893222,627340,25
d681f0dfbc, haha thanks  its for history and its on how the invention of television has influence america lol,haha thanks  its for history and its on how the invention of television has influence america lol,positive,night,70-100,South Africa,59308690,1213090,49
c81e21ffd8, yea so wassup,yea so wassup,neutral,morning,0-20,South Korea,51269185,97230,527
2839a4d1d8,"Stupid jobs, idk what to do.",Stupid,negative,noon,21-30,South Sudan,11193725,610952,18
5b747a13f6,Shopped til i dropped....come bac sunshine i miss u,Shopped til i dropped....come bac sunshine i miss u,negative,night,31-45,Spain,46754778,498800,94
b1fd9116e3," Like your pics, Lucky Girl, again",Like,positive,morning,46-60,Sri Lanka,21413249,62710,341
c628741a80, Thank you   I`ve had anxiety issues for years so I think if I can make it through the first couple of days then I will be fine.,Thank you   I`ve had anxiety issues,neutral,noon,60-70,Sudan,43849260,1765048,25
d2c66b666d,Around 3 hours left until a 3 day weekend and I have waaaay too much work to do.,Around 3 hours left until a 3 day weekend and I have waaaay too much work to do.,neutral,night,70-100,Suriname,586632,156000,4
954ab76021,Feeling loved!  My Mom got me a Nikon Cool Pix for my birthday!!!!,loved!,positive,morning,0-20,Sweden,10099265,410340,25
996630f6a0," there were attempts to somehow extend inner classes, which would be close to #closure, can`t find the ref ATM","there were attempts to somehow extend inner classes, which would be close to #closure, can`t find the ref ATM",neutral,noon,21-30,Switzerland,8654622,3.95E+04,219
0b2c0c6522, Yes! Join us! All we require is a cupcake donation...,Yes! Join us! All we require is a cupcake donation...,neutral,night,31-45,Syria,17500658,183630,95
5fbd854b80,i have such a hard time talking to new people -  I am pretty sure I didn`t make a good impression.....,hard,negative,morning,46-60,Tajikistan,9537645,139960,68
443d30a0ba,_rc234 haha  yup. but still have a terrible headache and super swollen and puffy eyes! i dont think im going out today.ugh!,terrible headache and super swollen and puffy eyes! i dont think im going out today.ugh!,negative,noon,60-70,Tanzania,59734218,885800,67
17f4db5ddf, Can`t access your site!,Can`t access your site!,neutral,night,70-100,Thailand,69799978,510890,137
35e2ce08fc,And the Sun is shinning.........at last,Sun is shinning.........at last,positive,morning,0-20,Timor-Leste,1318445,14870,89
2b6017f8f5,"We are on the slowest train ever, it stops everywhere. Missed a quick train by a few minutes","slowest train ever,",negative,noon,21-30,Togo,8278724,54390,152
